,Artist,Name,Peak_Position,Weeks_on_Chart,Week,Date,Genre,Features
1246,Billie Eilish,Listen Before I Go,,,2019-04-13,"March 29, 2019","Soul Pop,Ballad,Bedroom Pop,Alternative,Alternative Pop,Pop",
1262,Billie Eilish,8,,,2019-04-13,"March 29, 2019","Alternative,YouTube,Singer-Songwriter,Alternative Pop,Pop",
1266,City Girls,Twerk,29.0,13.0,2019-04-13,"November 9, 2018","East Coast,Motown,Trap,Rap",Cardi B
1268,"Billie Eilish, Khalid",Lovely,64.0,22.0,2019-04-13,"April 19, 2018","Pop,Soul,Ballad,Alternative",
1274,"benny blanco, Tainy, Selena Gomez, J Balvin",I Can't Get Enough,66.0,5.0,2019-04-13,"February 28, 2019","Colombia,Electronic Pop,Electro,Electro-Pop,Electronic,Reggaeton,En Espa\xc3\xb1ol,Latin Urban,Latin Music,Latin Pop,Pop",
1278,Chris Stapleton,Millionaire,47.0,17.0,2019-04-13,"October 20, 2017",Country,
1281,Jason Aldean,Girl Like You,46.0,19.0,2019-04-13,"April 13, 2018",Country,
1328,"Cardi B, Bad Bunny, J Balvin",I Like It,1.0,51.0,2019-04-06,"April 6, 2018","Trap,Latin Music,En Espa\xc3\xb1ol,Latin Trap,Rap",
1330,Juice WRLD,Lucid Dreams,2.0,46.0,2019-04-06,"July 1, 2017","Hip-Hop,Emo,Memes,Alternative Pop,Cloud Rap,Emo Rap,Trap,Rap",
1331,DJ Snake,Taki Taki,11.0,26.0,2019-04-06,"September 28, 2018","Rap,French Pop,France,Latin Urban,Reggaeton,En Espa\xc3\xb1ol,Latin Music,Pop","Selena Gomez, Ozuna, Cardi B"
1348,Jake Owen,Down To The Honkytonk,65.0,13.0,2019-04-06,"August 10, 2018",Country,
1355,NAV,Price On My Head,,,2019-04-06,"March 22, 2019","Cloud Rap,Trap,R&;B,Canada,Rap",The Weeknd
1361,Logic,Confessions Of A Dangerous Mind,,,2019-04-06,"March 22, 2019","Hip-Hop,Boom Bap,DMV,East Coast,Rap",
1362,Jordan Davis,Take It From Me,46.0,13.0,2019-04-06,"October 19, 2017",Country,
1363,Rich The Kid,Splashin,80.0,5.0,2019-04-06,"December 3, 2018",Rap,
1365,Lil Skies,I,39.0,4.0,2019-04-06,"February 28, 2019","Trap,Cloud Rap,Rap",
1369,Juice WRLD,Hear Me Calling,38.0,4.0,2019-04-06,"March 1, 2019","Cloud Rap,Trap,Dancehall,Afrobeats,Rap",
1374,Chris Brown,Undecided,35.0,12.0,2019-04-06,"January 4, 2019","Tropical House,Pop,R&;B",
1377,Kodak Black,Calling My Spirit,46.0,17.0,2019-04-06,"November 30, 2018","Trap,Hip-Hop,R&;B,Rap",
1381,Bebe Rexha,Last Hurrah,,,2019-04-06,"February 15, 2019","UK,Pop",
1382,Juice WRLD,Empty,41.0,3.0,2019-04-06,"March 8, 2019","Emo Rap,Trap,Rap",
1383,Carrie Underwood,Love Wins,83.0,10.0,2019-04-06,"August 31, 2018",Country,
1445,Iggy Azalea,Sally Walker,,,2019-03-30,"March 15, 2019","Dance,Hip-Hop,Aussie Hip-Hop,Australia,Trap,Rap",
1466,"Anuel AA, Romeo Santos",Ella Quiere Beber,61.0,20.0,2019-03-30,"November 1, 2018","Puerto Rico,Dancehall,Latin Urban,Latin Trap,Latin Pop,Latin Music,En Espa\xc3\xb1ol,Pop",
1469,Juice WRLD,Fast,47.0,2.0,2019-03-30,"March 8, 2019","Cloud Rap,Emo Rap,Trap,Rap",
1479,Joji,Slow Dancing In The Dark,,,2019-03-30,"September 12, 2018","Soul,Soul Pop,Lo-Fi,Ballad,Pop,R&;B",
1531,"Gucci Mane, Bruno Mars, Kodak Black",Wake Up In The Sky,11.0,26.0,2019-03-23,"September 14, 2018","Island Music,R&;B,Trap,Pop,Rap",
1548,Juice WRLD,Maze,,,2019-03-23,"March 8, 2019","Emo Rap,Trap,Rap",
1573,Luke Bryan,What Makes You Country,54.0,11.0,2019-03-23,"October 6, 2017",Country,
1574,Juice WRLD,Flaws And Sins,,,2019-03-23,"March 8, 2019","Emo Rap,Trap,Rap",
1578,Kehlani,Nights Like This,67.0,9.0,2019-03-23,"January 10, 2019","West Coast,R&;B",Ty Dolla $ign
1583,Lady Gaga,Always Remember Us This Way,41.0,9.0,2019-03-23,"October 5, 2018","TV,Musicals,Soundtrack,Pop",
1628,Flipp Dinero,Leave Me Alone,20.0,25.0,2019-03-16,"March 14, 2018",Rap,
1630,Sheck Wes,Mo Bamba,6.0,28.0,2019-03-16,"September 15, 2016","Hip-Hop,NBA,East Coast,Memes,Basketball,Trap,Rap",
1646,Midland,Burn Out,63.0,9.0,2019-03-16,"October 28, 2016",Country,
1656,Offset,Red Room,49.0,3.0,2019-03-16,"November 30, 2018","Trap,Motown,Rap",
1658,2 Chainz,Whip,,,2019-03-16,"March 1, 2019",Rap,Travis Scott
1674,Ariana Grande,Needy,14.0,4.0,2019-03-16,"February 8, 2019","R&;B,Pop",
1682,2 Chainz,Momma I Hit A Lick,,,2019-03-16,"March 1, 2019","West Coast,Rap",Kendrick Lamar
1730,Pardison Fontaine,Backin' It Up,40.0,20.0,2019-03-09,"September 20, 2018",Rap,Cardi B
1731,Offset,Legacy,,,2019-03-09,"February 22, 2019","Motown,Rap","Travis Scott, 21 Savage"
1744,Lady Gaga,I'll Never Love Again,36.0,7.0,2019-03-09,"October 5, 2018","Musicals,Soundtrack,Pop",
1747,Offset,How Did I Get Here,,,2019-03-09,"February 22, 2019","East Coast,Motown,Rap",J. Cole
1750,Ariana Grande,NASA,17.0,3.0,2019-03-09,"February 8, 2019","Trap,R&;B,Pop",
1752,Gunna,Outstanding,,,2019-03-09,"February 22, 2019","Trap,Rap",
1754,Lil Pump,Be Like Me,,,2019-03-09,"February 21, 2019","Trap,Rap",Lil Wayne
1756,Gunna,3 Headed Snake,,,2019-03-09,"February 22, 2019","Trap,Rap",Young Thug
1757,Gunna,Wit It,,,2019-03-09,"February 22, 2019","Cloud Rap,Trap,Rap",
1759,The Chainsmokers,This Feeling,50.0,20.0,2019-03-09,"September 18, 2018","EDM,Bass Music,Electro,Electro-Pop,Future Bass,Electronic,Dance,Pop",Kelsea Ballerini
1760,Gunna,One Call,56.0,2.0,2019-03-09,"February 1, 2019","Cloud Rap,Trap,Rap",
1765,Mark Ronson,Nothing Breaks Like A Heart,43.0,13.0,2019-03-09,"November 29, 2018","Nu Disco,Adult Contemporary,Dance-Pop,Pop,Pop Country,Disco",Miley Cyrus
1766,Ariana Grande,Imagine,21.0,8.0,2019-03-09,"December 14, 2018","Ballad,Trap,Neo Soul,Alternative R&;B,R&;B,Pop",
1767,Offset,Lick,,,2019-03-09,"February 22, 2019","Motown,Rap",
1771,Ariana Grande,Bad Idea,27.0,3.0,2019-03-09,"February 8, 2019","Trap,Alternative R&;B,R&;B",
1772,Gunna,Speed It Up,,,2019-03-09,"February 11, 2019","Trap,Rap",
1774,Ariana Grande,Bloodline,22.0,3.0,2019-03-09,"February 8, 2019","Dancehall,Reggae,R&;B,Pop",
1775,John Mayer,I Guess I Just Feel Like,,,2019-03-09,"February 22, 2019",Country,
1837,Ariana Grande,Fake Smile,26.0,2.0,2019-03-02,"February 8, 2019","Neo Soul,Trap,R&;B,Pop",
1841,"Gesaffelstein, The Weeknd",Lost In The Fire,27.0,6.0,2019-03-02,"January 11, 2019","Electronic,Beef,France,Canada,Electro-Pop,Pop,R&;B",
1842,Ariana Grande,Ghostin,25.0,2.0,2019-03-02,"February 8, 2019","Dream-Pop,Ballad,R&;B,Pop",
1849,Thomas Rhett,Sixteen,42.0,15.0,2019-03-02,"September 8, 2017",Country,
1853,Ariana Grande,In My Head,38.0,2.0,2019-03-02,"February 8, 2019","Alternative R&;B,Trap,R&;B,Pop",
1861,Loud Luxury,Body,80.0,8.0,2019-03-02,"October 27, 2017","Canada,Pop",Brando
1865,"Zedd, Katy Perry",365,,,2019-03-02,"February 14, 2019","West Coast,Dance-Pop,Electro,Electro-Pop,Electronic,Dance,Pop",
1868,Travis Scott,Yosemite,25.0,18.0,2019-03-02,"August 3, 2018","Atlanta,Canada,Memes,Trap,Rap",
1874,Ariana Grande,Make Up,48.0,2.0,2019-03-02,"February 8, 2019","R&;B,Pop",
1876,Dustin Lynch,Good Girl,44.0,15.0,2019-03-02,"May 5, 2018","Pop,Country",
1877,"XXXTENTACION, Lil Pump",Arms Around You,28.0,17.0,2019-03-02,"October 23, 2018","Pop,Dancehall,East Coast,Dance,Latin Music,En Espa\xc3\xb1ol,Rap","Maluma, Swae Lee"
1878,A Boogie Wit da Hoodie,Startender,59.0,9.0,2019-03-02,"December 14, 2018","Motown,Trap,Rap","Offset, Tyga"
1951,Lil Wayne,Uproar,7.0,20.0,2019-02-23,"October 5, 2018",Rap,
1954,Dierks Bentley,Burning Man,45.0,17.0,2019-02-23,"May 25, 2018",Country,Brothers Osborne
1955,Jacquees,You,58.0,12.0,2019-02-23,"March 30, 2018",Rap,
1964,Zara Larsson,Ruin My Life,76.0,7.0,2019-02-23,"October 18, 2018","Scandinavia,Scandipop,Synth-Pop,R&;B,Pop",
1974,"Tory Lanez, Rich The Kid",Talk To Me,43.0,16.0,2019-02-23,"June 21, 2018","Instrumental Hip-Hop,Trip-Hop,Dancehall,Trap,Canada,R&;B,Rap",
1976,Kacey Musgraves,Rainbow,,,2019-02-23,"February 11, 2019",Country,
2006,Marshmello,Alone,28.0,11.0,2019-02-16,"May 13, 2016","Electronic Trap,Electronic,Pop",
2013,Ariana Grande,Breathin,12.0,25.0,2019-02-16,"August 17, 2018","Dance-Pop,Electro-Pop,R&;B,Pop",
2016,Ella Mai,Trip,11.0,27.0,2019-02-16,"August 3, 2018","UK,R&;B",
2019,"Khalid, Normani",Love Lies,9.0,51.0,2019-02-16,"February 14, 2018","Soundtrack,R&;B",
2025,Bazzi,Beautiful,26.0,27.0,2019-02-16,"August 2, 2018","Remix,Ballad,R&;B,Pop",Camila Cabello
2057,Future,First Off,47.0,3.0,2019-02-16,"January 18, 2019","Atlanta,Trap,Rap",Travis Scott
2065,"benny blanco, Juice WRLD",Roses,85.0,6.0,2019-02-16,"December 5, 2018","Emo Rap,Pop-Punk,Pop,Rap",Brendon Urie
2068,Logic,Keanu Reeves,38.0,3.0,2019-02-16,"January 18, 2019","DMV,East Coast,Rap",
2069,French Montana,No Stylist,47.0,20.0,2019-02-16,"September 20, 2018","Trap,Canada,Rap",Drake
2074,Future,Crushed Up,43.0,5.0,2019-02-16,"January 4, 2019","Atlanta,Trap,Rap",
2132,Jimmie Allen,Best Shot,37.0,20.0,2019-02-09,"October 12, 2018",Country,
2165,XXXTENTACION,Sauce!,,,2019-02-09,"January 23, 2019","R&;B,Remix,Trap,Rap",
2173,XXXTENTACION,BAD!,16.0,11.0,2019-02-09,"November 9, 2018","Hip-Hop,Cloud Rap,R&;B,Trap,Rap",
2175,Russell Dickerson,Blue Tacoma,52.0,19.0,2019-02-09,"March 5, 2018",Country,
2226,Imagine Dragons,Natural,13.0,27.0,2019-02-02,"July 17, 2018","Alternative,Adult Alternative,Indie Rock,Alternative Rock,Pop-Rock,Rock,Pop",
2233,Future,Jumpin On A Jet,57.0,2.0,2019-02-02,"January 9, 2019","Atlanta,Trap,Rap",
2240,Future,Never Stop,,,2019-02-02,"January 18, 2019","Atlanta,Cloud Rap,Trap,Rap",
2247,Camila Cabello,Consequences,51.0,12.0,2019-02-02,"January 12, 2018","Ballad,Piano,Cuba,M\xc3\xa9xico,Pop",
2251,Future,Temptation,,,2019-02-02,"January 18, 2019","Atlanta,Trap,Rap",
2254,Future,Rocket Ship,,,2019-02-02,"January 18, 2019","Atlanta,Trap,Rap",
2264,"Silk City, Dua Lipa",Electricity,62.0,10.0,2019-02-02,"September 7, 2018","Retro,Disco,Electro House,Dance-Pop,Dance,Electronic,UK,House,Pop",
2272,"Hikaru Utada, Skrillex",Face My Fears,,,2019-02-02,"January 18, 2019","Theme Song,Future Bass,Disney,Electro-Pop,Electronic,Soundtrack,Gaming,Japan,Pop",
2274,Future,Call The Coroner,,,2019-02-02,"January 18, 2019","Atlanta,Trap,Rap",
2312,Luke Combs,She Got The Best Of Me,31.0,23.0,2019-01-26,"July 1, 2014",Country,
2356,"Future, Juice WRLD",Fine China,26.0,13.0,2019-01-26,"October 15, 2018","Trap,Rap",
2357,Ski Mask The Slump God,Nuketown,63.0,6.0,2019-01-26,"November 30, 2018","Hip-Hop,Screamo,Trap,Rap",Juice WRLD
2361,Metro Boomin,Space Cadet,51.0,6.0,2019-01-26,"November 2, 2018","Trap,Rap",Gunna
2362,Lil Pump,Butterfly Doors,81.0,2.0,2019-01-26,"January 4, 2019","Trap,Rap",
2363,YoungBoy Never Broke Again,Valuable Pain,87.0,2.0,2019-01-26,"December 10, 2018",Rap,
2366,21 Savage,Can't Leave Without It,58.0,4.0,2019-01-26,"December 21, 2018","Motown,Trap,Rap",
2367,Nicki Minaj,Good Form,60.0,6.0,2019-01-26,"November 29, 2018","Remix,Rap",Lil Wayne
2369,Billie Eilish,idontwannabeyouanymore,96.0,3.0,2019-01-26,"July 21, 2017","Dark Pop,Alternative Pop,Alternative,Pop",
2432,Kip Moore,Last Shot,53.0,8.0,2019-01-19,"September 8, 2017",Country,
2455,"Shawn Mendes, Zedd",Lost In Japan,48.0,16.0,2019-01-19,"September 27, 2018","Canada,R&;B,Remix,Electronic,Dance,Pop",
2461,21 Savage,Monster,73.0,3.0,2019-01-19,"December 21, 2018","Atlanta,Hip-Hop,Trap,Rap",
2466,A Boogie Wit da Hoodie,Demons And Angels,90.0,3.0,2019-01-19,"December 21, 2018","Cloud Rap,Trap,Rap",Juice WRLD
2467,6ix9ine,KIKA,44.0,6.0,2019-01-19,"November 27, 2018","Trap,R&;B,Canada,East Coast,Rap",Tory Lanez
2470,"Tyga, Nicki Minaj",Dip,63.0,8.0,2019-01-19,"October 29, 2018","West Coast,Rap",
2471,Eminem,Lucky You,6.0,14.0,2019-01-19,"August 31, 2018",Rap,Joyner Lucas
2510,Mitchell Tenpenny,Drunk Me,39.0,21.0,2019-01-12,"March 26, 2018",Country,
2517,Meek Mill,Dangerous,31.0,20.0,2019-01-12,"July 6, 2018","East Coast,R&;B,Rap","Jeremih, PnB Rock"
2564,XXXTENTACION,whoa,37.0,3.0,2019-01-12,"December 7, 2018","Lo-Fi,Chillstep,Pop",
2565,21 Savage,All My Friends,67.0,2.0,2019-01-12,"December 21, 2018","Trap,Rap",
2571,Mariah Carey,All I Want For Christmas Is You,3.0,30.0,2019-01-05,,"East Coast,Christmas,R&;B,Pop",
2576,Bobby Helms,Jingle Bell Rock,8.0,25.0,2019-01-05,,"Pop,Rockabilly,Christmas,Rock",
2577,Brenda Lee,Rockin' Around The Christmas Tree,9.0,27.0,2019-01-05,,"Christmas,Rock",
2578,Burl Ives,A Holly Jolly Christmas,10.0,10.0,2019-01-05,,Pop,
2579,Nat King Cole,The Christmas Song,11.0,17.0,2019-01-05,,"Pop,Christmas",
2581,Andy Williams,It's The Most Wonderful Time Of The Year,10.0,10.0,2019-01-05,,"Christmas,Holiday,Pop",
2584,Nosed Reindeer,Rudolph The Red,16.0,4.0,2019-01-05,,"Christmas,Pop",
2592,Wham!,Last Christmas,25.0,9.0,2019-01-05,,"Christmas,New Wave,Synth-Pop,Pop",
2593,The Ronettes,Sleigh Ride,26.0,3.0,2019-01-05,,"Christmas,Pop",
2595,Gene Autry,Here Comes Santa Claus,28.0,3.0,2019-01-05,,"Christmas,Pop",
2596,Jose Feliciano,Feliz Navidad,29.0,5.0,2019-01-05,,"Rock,Pop,Latin Pop,Latin Music,Holiday,Christmas",
2599,Perry Como,Home For The Holidays,32.0,2.0,2019-01-05,,"Pop,Christmas",
2601,Bing Crosby,White Christmas,12.0,15.0,2019-01-05,,"Pop,Christmas",
2606,Elvis Presley,Blue Christmas,,,2019-01-05,,"R&;B,Christmas,Country,Rock",
2608,Darlene Love,Christmas,43.0,2.0,2019-01-05,,Rock,
2609,Kelly Clarkson,Underneath The Tree,44.0,4.0,2019-01-05,"November 5, 2013","Christmas,Pop",
2610,Chuck Berry,Run Rudolph Run,45.0,4.0,2019-01-05,,"Christmas,Rock",
2614,Frank Sinatra,Jingle Bells,,,2019-01-05,,"Christmas,Pop",
2618,Katy Perry,Cozy Little Christmas,53.0,2.0,2019-01-05,"November 15, 2018","Christmas,Holiday,Pop",
2635,21 Savage,Break Da Law,,,2019-01-05,"December 21, 2018","Trap,Rap",
2650,21 Savage,1.5,,,2019-01-05,"December 21, 2018","Motown,Trap,Rap",
2652,21 Savage,Out For The Night,,,2019-01-05,"December 21, 2018","Trap,Rap",
2657,21 Savage,Gun Smoke,,,2019-01-05,"December 21, 2018","Trap,Rap",
2659,21 Savage,ASMR,,,2019-01-05,"December 21, 2018","Trap,Rap",
2708,Paul McCartney,Wonderful Christmastime,,,2018-12-29,,Rock,
2719,Kodak Black,MoshPit,,,2018-12-29,"December 12, 2018","Trap,Rap",Juice WRLD
2734,Kodak Black,Testimony,,,2018-12-29,"September 14, 2018",Rap,
2747,Kodak Black,Gnarly,,,2018-12-29,"December 14, 2018","Cloud Rap,Trap,Rap",Lil Pump
2757,Meek Mill,Uptown Vibes,39.0,3.0,2018-12-29,"November 22, 2018","East Coast,Latin Urban,En Espa\xc3\xb1ol,Latin Music,Latin Trap,Rap","Fabolous, Anuel AA"
2759,6ix9ine,MAMA,43.0,4.0,2018-12-29,"November 27, 2018","Pop,Motown,Trap,Rap","Nicki Minaj, Kanye West"
2803,lovelytheband,Broken,29.0,22.0,2018-12-22,"July 7, 2017","Pop,Indie Pop,Adult Alternative,Alternative Rock,Pop-Rock,Indie Rock,Rock",
2804,Tyga,Taste,8.0,29.0,2018-12-22,"May 16, 2018","Trap,West Coast,Rap",Offset
2806,XXXTENTACION,Guardian Angel,,,2018-12-22,"December 7, 2018","Hip-Hop,Emo,Cloud Rap,Alternative,Emo Rap,Lo-Fi,Rap",
2808,Ariana Grande,God Is A Woman,8.0,22.0,2018-12-22,"July 13, 2018","Feminism,Alternative R&;B,Electro-Pop,Trap,R&;B,Pop",
2809,XXXTENTACION,I Don't Let Go,,,2018-12-22,"December 7, 2018","Hip-Hop,Trap,Rap",
2819,Meek Mill,What's Free,20.0,2.0,2018-12-22,"November 30, 2018","East Coast,Rap","Rick Ross, JAY"
2820,XXXTENTACION,One Minute,,,2018-12-22,"December 7, 2018","Alternative Metal,Rap Rock,Alternative Rock,Hip-Hop,Nu-Metal,Rap,Screamo,Rock","Kanye West, Travis Barker"
2822,XXXTENTACION,Train Food,,,2018-12-22,"December 7, 2018","Emo Rap,Emo,Hip-Hop,Piano,Rap",
2823,XXXTENTACION,What Are You So Afraid Of,,,2018-12-22,"December 7, 2018","Pop,Acoustic,R&;B",
2825,XXXTENTACION,Staring At The Sky,,,2018-12-22,"December 7, 2018","Nu-Metal,Alternative Metal,Metal,Screamo,Alternative Rock,Rock",
2827,NF,Lie,48.0,20.0,2018-12-22,"October 6, 2017","Pop,Rap",
2835,6ix9ine,WAKA,51.0,3.0,2018-12-22,"November 27, 2018","Trap,Rap",A Boogie Wit da Hoodie
2839,Meek Mill,On Me,30.0,2.0,2018-12-22,"November 30, 2018","East Coast,Rap",Cardi B
2841,XXXTENTACION,Difference,,,2018-12-22,"December 7, 2018","Interlude,Acoustic,Pop,R&;B",
2847,6ix9ine,TIC TOC,53.0,3.0,2018-12-22,"November 27, 2018","Trap,Motown,Rap",Lil Baby
2848,Yella Beezy,That's On Me,56.0,20.0,2018-12-22,"October 31, 2017",Rap,
2907,6ix9ine,FEFE,3.0,20.0,2018-12-15,"July 22, 2018","Hip-Hop,Pop,Trap,Rap","Nicki Minaj, Murda Beatz"
2910,Meek Mill,Intro,,,2018-12-15,"October 28, 2012",Rap,
2912,Meek Mill,Respect The Game,,,2018-12-15,"November 30, 2018","East Coast,Rap",
2913,Cardi B,Ring,28.0,20.0,2018-12-15,"April 6, 2018","West Coast,East Coast,Pop,R&;B,Rap",Kehlani
2916,Meek Mill,Trauma,,,2018-12-15,"October 30, 2012",Rap,
2917,Lil Baby,Time,,,2018-12-15,"November 30, 2018","Motown,Trap,Rap",Meek Mill
2921,Lil Baby,Ready,,,2018-12-15,"November 30, 2018","Trap,Rap",Gunna
2925,Meek Mill,Championships,,,2018-12-15,"November 29, 2018","East Coast,Rap",
2927,Meek Mill,Tic Tac Toe,,,2018-12-15,"November 30, 2018","East Coast,Rap",Kodak Black
2928,Meek Mill,Almost Slipped,,,2018-12-15,"November 30, 2018","East Coast,R&;B,Rap",
2931,Meek Mill,Splash Warning,,,2018-12-15,"November 30, 2018","East Coast,Rap","Future, Roddy Ricch, Young Thug"
2932,Meek Mill,Pay You Back,,,2018-12-15,"November 30, 2018","East Coast,Rap",21 Savage
2935,Ski Mask The Slump God,Foot Fungus,,,2018-12-15,"November 30, 2018","Trap,Rap",
2936,Lil Baby,Crush A Lot,,,2018-12-15,"November 30, 2018","Motown,Trap,Rap",
2939,Meek Mill,Oodles O' Noodles Babies,,,2018-12-15,"November 22, 2018","East Coast,Rap",
2943,6ix9ine,STOOPID,25.0,9.0,2018-12-15,"October 5, 2018","Hardcore Hip-Hop,East Coast,Trap,Rap",Bobby Shmurda
2945,Lil Baby,Global,,,2018-12-15,"November 30, 2018","Motown,Trap,Rap",
2951,Lil Baby,Word On The Street,,,2018-12-15,"November 30, 2018","Motown,Trap,Rap",
2990,Drake,In My Feelings,1.0,22.0,2018-12-08,"June 29, 2018","Bounce,Pop,Trap,Canada,R&;B,Rap",
2994,Kane Brown,Lose It,28.0,20.0,2018-12-08,"June 7, 2018",Country,
2997,"Lil Baby, Drake",Yes Indeed,6.0,29.0,2018-12-08,"May 12, 2018","Hip-Hop,Trap,Canada,Motown,Rap",
2999,Drake,Nonstop,2.0,22.0,2018-12-08,"June 29, 2018","Memes,Trap,Canada,Rap",
3003,Ella Mai,Boo'd Up,5.0,35.0,2018-12-08,"February 24, 2017","UK,R&;B",
3018,Trippie Redd,Topanga,52.0,5.0,2018-12-08,"October 22, 2018","Emo Rap,Emo,Trap,Producer,Rap",
3020,Billie Eilish,Come Out And Play,,,2018-12-08,"November 20, 2018","Ballad,Alternative Pop,Alternative,Indie Pop,Indie,Pop",
3021,Metro Boomin,10 Freaky Girls,42.0,4.0,2018-12-08,"November 2, 2018","Atlanta,Trap,Rap",21 Savage
3023,Trippie Redd,1400 / 999 Freestyle,55.0,3.0,2018-12-08,"November 9, 2018","Emo Rap,Trap,Rap",Juice WRLD
3029,Bebe Rexha,I'm A Mess,35.0,20.0,2018-12-08,"June 15, 2018",Pop,
3030,Chris Young,Hangin' On,63.0,13.0,2018-12-08,"March 5, 2018",Country,
3036,"Lil Baby, Gunna",Never Recover,15.0,8.0,2018-12-08,"October 5, 2018","Atlanta,Motown,Trap,Rap",Drake
3037,6ix9ine,BEBE,30.0,5.0,2018-12-08,"August 31, 2018","Puerto Rico,Rap,Latin Urban,Pop,Reggaeton,En Espa\xc3\xb1ol,Latin Music",Anuel AA
3038,Maren Morris,Rich,62.0,8.0,2018-12-08,"June 3, 2016",Country,
3044,Daniel Caesar,Best Part,75.0,19.0,2018-12-08,"August 25, 2017","Canada,R&;B",H.E.R.
3046,Metro Boomin,Don't Come Out The House,38.0,4.0,2018-12-08,"November 2, 2018","Gangsta Rap,Trap,Rap",21 Savage
3048,"Kanye West, Lil Pump",I Love It,6.0,12.0,2018-12-08,"September 6, 2018","Hip-Hop,Memes,Rap",
3049,"Lil Peep, XXXTENTACION",Falling Down,13.0,11.0,2018-12-08,"September 19, 2018","Alternative,Pop,Pop-Rock,Emo Rap,Alternative Pop,Emo",
3050,Lil Mosey,Noticed,80.0,10.0,2018-12-08,"July 20, 2018","Trap,Rap",
3095,Lauv,I Like Me Better,27.0,41.0,2018-12-01,"May 19, 2017","Electronic,Pop",
3096,Post Malone,Psycho,1.0,39.0,2018-12-01,"February 23, 2018",Rap,Ty Dolla $ign
3097,XXXTENTACION,Sad!,1.0,38.0,2018-12-01,"March 2, 2018","Hip-Hop,Trap,Emo Rap,Rap,Alternative,Cloud Rap",
3101,Queen,Bohemian Rhapsody,2.0,44.0,2018-12-01,,"Memes,Piano,British Rock,Adult Alternative,Baroque Pop,Hard Rock,Opera,Orchestral,Pop-Rock,Pop,Progressive Rock,Ballad,Art Rock,UK,Rock",
3130,Kodak Black,Take One,,,2018-12-01,"November 16, 2018",Rap,
3139,Lil Wayne,Mona Lisa,2.0,8.0,2018-12-01,"September 28, 2018","West Coast,Rap",Kendrick Lamar
3143,Eric Church,Desperate Man,68.0,15.0,2018-12-01,"July 13, 2018",Country,
3148,AJR,Burn The House Down,,,2018-12-01,"March 23, 2018",Pop,
3196,YG,Big Bank,16.0,24.0,2018-11-24,"May 25, 2018",Rap,"2 Chainz, Big Sean, Nicki Minaj"
3219,Trippie Redd,Love Scars 3,,,2018-11-24,"November 9, 2018","Emo,Emo Rap,Cloud Rap,Trap,Rap",
3234,Trippie Redd,Negative Energy,,,2018-11-24,"November 9, 2018","Emo,Emo Rap,Cloud Rap,Trap,Rap",Kodie Shane
3243,Trippie Redd,Toxic Waste,,,2018-11-24,"November 9, 2018","Emo,Emo Rap,Cloud Rap,Trap,Rap",
3244,Bryce Vine,Drew Barrymore,46.0,14.0,2018-11-24,"September 8, 2017","Pop,Rap",
3245,"Tiesto, Dzeko",Jackie Chan,52.0,19.0,2018-11-24,"May 18, 2018","Dance,Remix,Rap,Pop","Preme, Post Malone"
3292,Selena Gomez,Back To You,18.0,26.0,2018-11-17,"May 10, 2018","Ballad,Electro-Pop,Dance-Pop,Soundtrack,Pop",
3294,Taylor Swift,Delicate,12.0,35.0,2018-11-17,"November 10, 2017","Synth-Pop,New Wave,Tropical House,Electro-Pop,Electronic,Pop",
3306,Metro Boomin,Overdue,,,2018-11-17,"November 2, 2018","Trap,Rap",Travis Scott
3312,TakeOff,Last Memory,54.0,2.0,2018-11-17,"October 26, 2018","Motown,Trap,Rap",
3316,Metro Boomin,Dreamcatcher,,,2018-11-17,"November 2, 2018","Atlanta,Trap,Rap","Swae Lee, Travis Scott"
3322,Metro Boomin,No More,,,2018-11-17,"November 2, 2018","Emo Rap,Trap,Rap","Travis Scott, Kodak Black, 21 Savage"
3331,"Calvin Harris, Sam Smith",Promises,65.0,12.0,2018-11-17,"August 17, 2018","Electronic,Dance,Pop",
3337,DJ Khaled,No Brainer,5.0,15.0,2018-11-17,"July 27, 2018","Motown,R&;B,Electro-Pop,Canada,Rap,Pop","Justin Bieber, Chance The Rapper, Quavo"
3339,Old Dominion,Hotel Key,48.0,19.0,2018-11-17,"September 25, 2017",Country,
3341,Eminem,Killshot,3.0,8.0,2018-11-17,"September 14, 2018","Hip-Hop,Trap,Hardcore Hip-Hop,Beef,Rap",
3342,TakeOff,Casper,,,2018-11-17,"November 2, 2018","Trap,Motown,Rap",
3343,Metro Boomin,Up To Something,,,2018-11-17,"November 2, 2018","Atlanta,Trap,Rap","Travis Scott, Young Thug"
3374,Michael Jackson,Thriller,4.0,18.0,2018-11-10,,"Eighties,Halloween,Funk,Synth-Pop,Soul,Soul Pop,R&;B,Pop",
3389,"Zedd, Maren Morris, Grey",The Middle,5.0,40.0,2018-11-10,"January 23, 2018","Deutschland,Electro-Pop,Electronic,Dance,Pop",
3420,Chris Janson,Drunk Girl,79.0,10.0,2018-11-10,"September 22, 2017",Country,
3430,Steve Aoki,Waste It On Me,,,2018-11-10,"October 25, 2018","Dance,Pop",BTS
3431,P!nk,A Million Dreams,,,2018-11-10,"October 24, 2018","Soundtrack,Cover,Pop",
3433,Lil Uzi Vert,New Patek,24.0,7.0,2018-11-10,"September 18, 2018","Trap,Cloud Rap,Rap",
